
Category,Input Name,Database Table,Database Field,Data Type,Quantitative/Qualitative
Authentication,Username,users,username,VARCHAR(100),Qualitative
Authentication,Password,users,password,VARCHAR(255),Qualitative
Authentication,Full Name,users,name,VARCHAR(255),Qualitative
Authentication,Email,users,email,VARCHAR(255),Qualitative
Authentication,Organization,users,organization,TEXT,Qualitative
Authentication,Job Title,users,jobTitle,TEXT,Qualitative
Authentication,Profile Picture,users,profilePicture,TEXT,Qualitative
Strengths Assessment,Question 1 Response,user_assessments,results (JSON),INTEGER,Quantitative
Strengths Assessment,Question 2 Response,user_assessments,results (JSON),INTEGER,Quantitative
Strengths Assessment,Question 3 Response,user_assessments,results (JSON),INTEGER,Quantitative
Strengths Assessment,Question 4 Response,user_assessments,results (JSON),INTEGER,Quantitative
Strengths Assessment,Question 5 Response,user_assessments,results (JSON),INTEGER,Quantitative
Strengths Assessment,Question 6 Response,user_assessments,results (JSON),INTEGER,Quantitative
Strengths Assessment,Question 7 Response,user_assessments,results (JSON),INTEGER,Quantitative
Strengths Assessment,Question 8 Response,user_assessments,results (JSON),INTEGER,Quantitative
Strengths Assessment,Question 9 Response,user_assessments,results (JSON),INTEGER,Quantitative
Strengths Assessment,Question 10 Response,user_assessments,results (JSON),INTEGER,Quantitative
Strengths Assessment,Question 11 Response,user_assessments,results (JSON),INTEGER,Quantitative
Strengths Assessment,Question 12 Response,user_assessments,results (JSON),INTEGER,Quantitative
Strengths Assessment,Question 13 Response,user_assessments,results (JSON),INTEGER,Quantitative
Strengths Assessment,Question 14 Response,user_assessments,results (JSON),INTEGER,Quantitative
Strengths Assessment,Question 15 Response,user_assessments,results (JSON),INTEGER,Quantitative
Strengths Assessment,Question 16 Response,user_assessments,results (JSON),INTEGER,Quantitative
Strengths Assessment,Question 17 Response,user_assessments,results (JSON),INTEGER,Quantitative
Strengths Assessment,Question 18 Response,user_assessments,results (JSON),INTEGER,Quantitative
Strengths Assessment,Question 19 Response,user_assessments,results (JSON),INTEGER,Quantitative
Strengths Assessment,Question 20 Response,user_assessments,results (JSON),INTEGER,Quantitative
Strengths Assessment,Question 21 Response,user_assessments,results (JSON),INTEGER,Quantitative
